,Title,Description,Label
15, Resize the closed captions box,"Users can now change the size of the closed captions (CC) box to show more or fewer lines.Administration experienceAs site administrators, for security reasons, make sure that you provide a list of domains so that the users can save the URLs containing the domains. Without the approved domains, the users won't be able to save any URL due to security considerations. For example, here are a few domain types for your consideration, survey domains (qualtrics.com, surveymonkey.com, typeform.com, to name a few), and your company's domain(s).Site AdministrationGo to Site Administration > Common Site Settings.In the Allow the following URL domain names enter the domain names.The URL containing the domains are considered approved so that the users can save them.",1
16, Introducing the Webex Meetings for Chrome PWA,"We're excited to announce that the Webex Meetings web app is now available for download as a Progressive Web App (PWA) for ChromeOS in the Google Play store.This makes it easy for Chromebook users to access Meetings directly from their desktop, without having to go through the browser. Similarly, this provides you with more flexibility to manage services and apps for your users.",1
17, Move Webex Meetings from your desktop to mobile app using a QR code (NN: seems a duplicate of the previous version [April 2022]),We are introducing the Move Meeting to Mobile feature where users can scan the QR code using their mobile camera and move their meeting to Webex Meetings mobile app without disrupting or disconnecting the meeting.,1
18, Update your meeting app before you join the meeting,The goal is to ensure that all attendees are able to participate in the meeting effectively and use all the available features. We’re giving you the option to update your app before you join the meeting. Then you’ll be sure to have the latest features for an optimal meetings experience.,1
19," Support email reminder for up to 100,000 licenses","Today, organizations or sites with licenses of 10,000 and below can schedule email reminders to attendees. Starting with the 42.5 update, organizations or sites who have more than 10,000 licenses can also schedule email reminders. To support a large volume of emails, the reminder can be scheduled to be sent at least 12 hours before the start time. This feature also supports webcast view for attendees.",1
20, Improved Registration page,"Now, when you go to register for an upcoming meeting, you see the meeting title, time, and host. This helps make it clear what meeting you're registering for. We've also removed the meeting password in the Registration page since you don't need that information during registration.If you're the host, you also get a registration link that they can copy to the Meeting information page.",1
21, Entry and exit beep changes,"All new sites have this feature turned off by default. For existing sites that have entry and exit beep that is turned on, phone users continue to hear the beep, while it is turned off for computer audio users.",1
22,. New and improved scheduler for Meetings and Webinars,"Scheduler on website for Meetings and Webinars is undergoing following UI enhancements,A new section that is called Security is added and all scheduling options that are related to security are moved here. This includes passwords for meetings and webinars.Tooltips are added to most scheduling options including options under Attendee privileges and Meeting options.Agenda is now part of the main or basic scheduling flow instead of under advanced options.",1
23,. Fullband audio support in Music Mode on by default for Mac and Windows,"Music Mode now uses Fullband audio quality on Mac and Windows Meetings app, by default. Administrators that require the use of lower quality audio for Music Mode can request the feature toggle to be disabled for their site. By default, Music Mode sessions are encoded using up to Fullband audio quality. With this toggle disabled, Music Mode operates up to Superwideband audio fidelity on desktop clients. But Webex takes up more network bandwidth.",1
24,. Breakout support for audio-only users,"A user joining a meeting using Audio only (PSTN), can now be placed in a breakout session. This feature is available for meetings desktop and mobile.Attendee experience:The attendee is prompted when they are moved to a breakout. They can be moved immediately or asked to join later which they can do by pressing *2.When turned on, the attendee can return to main session and rejoin the breakout by pressing *2.When a host or cohost closes the breakout sessions, the attendee is warned and then moved to the main meeting.Host experience:An audio-only host, when assigned to a breakout session by a cohost, can join the breakout session later by pressing *2, regardless of selected settings.They can also return to the main session and rejoin the breakout session by pressing *2 regardless of the selected settings.Host is warned with an audio prompt when a cohost moves them to another breakout session.When a cohost closes the breakout sessions, they are warned and then automatically moved to the main meeting.Limitations:In meetings, attendees cannot view or choose the breakout session to self-join. They must be assigned to a breakout session by the host or cohost.This feature is not supported for attendees in Webinars, only supported for panelists.If using a Meetings desktop app version earlier than the current version, audio-only users aren't listed in the Participant of the breakout session.Only following DTMF tones are available inside the breakout for

 Host: *2, *6, ** Attendees: *2, *3, *6, **",1
25,. Display an image to attendees while conducting a practice session,"When the practice session starts, attendees can now view an image that the host has uploaded. The host can upload an image before the webinar starts.This feature doesn’t support webcast view. The ability to upload other file types will come in a later update.",1
26,. Slido rating poll improvements,We're adding the option to choose between the emoji and star scale.,1
27,. Collaboration restrictions for your company users from Control Hub settings templates,"With this update, collaboration restrictions can now be applied at an individual user and group level from the settings template in Control Hub.Today, IT administrators can block users from joining meetings that are hosted on the external sites at the org level only. With this update you can apply this policy at group and user level using settings template. Collaboration restrictions are applicable to the permitted sites too.The Settings template is applicable to your company user joining both internal meetings and external meetings, with separate collaboration restriction toggles.More than 20+ compliance control features are available for you to apply across your company users joining internal or external meetings.Users are provided with appropriate messaging while using Webex Meetings based on their company policy.[This feature is not available for Webex for Government.]",1
28,. Webex Meetings compliance policies for Bring Your Own Device (BYOD),IT administrators can now prevent users from joining company meetings from a BYOD. This feature leverages registry keys or tokens.Users can join your company meetings using BYOD only if a registry key or token is detected on that device.[This feature is not available for Webex for Government.],1
29,. Forced authentication before joining Webex Meetings,"In Control Hub, as an administrator, you can now lock the company device to allow only authenticated company users to join meetings using that device.This feature is applicable to your users using company device to join meetings that are held within your organization or joining external meetings (meetings held outside of your organization). This feature leverages the registry key and token that have already been introduced.Without the registry key, if Authenticated Sign-in is ON, it applies to the user trying to join meetings with a claimed email address.[This feature is not available for Webex for Government.]",1
30,. Ability to disable Broadcast Message,"Administrators can now disable Broadcast Message using Control Hub templates for meetings and webinars. The control to disable this feature is available at the user, group, or org level.When the administrator has this feature disabled for the user, they won’t be able to receive broadcast message. The user as a host or cohost won’t be able to use the Broadcast Message feature in breakout rooms. The host and cohost are notified of the feature limitations.",1
31,. New join policy for your company meetings with allowed lists for IT administrators,IT administrators can now set rules on who can join your company meetings. You can choose to allow anyone to join your internal meetings or choose to create an allowed list of domains. Only users who are authenticated on that domain can join your internal company meetings.This policy can be applied at the organization level. You can also choose to apply this policy at user and group level using the settings template in Control Hub. This feature is available for meetings desktop and mobile.,1
32, Chapters in the recording video,If you are using Webex Meetings and Webinars you can now add chapters to a recording and share them with others. This makes it faster and easier to view recordings that are longer in duration.Hosts can indicate the starting timestamp of a chapter along with its title and then delete them. You can enable MP4 recording and Webex Events (classic).You can view all the chapters in the recording playback bar and chapter panel.,1
33, Track where your webinar attendees are coming from,Invitation sources allow you to see where your attendees are coming from if you share the webinar links in multiple locations. You can create unique URLs for different platforms and share that unique link to track how many joins or registrations each platform has generated.This feature isn’t supported in China data center.,1
34, Reorder participants on the stage,"You can now reorder the participants you've moved on to the stage. Simply drag and drop the video you'd like to move into the position you'd like, or use the more options menu in the video thumbnail where you can select move to first position.As an attendee, you can't reorder participants who are being synced by the host or cohost.",1
35, New Webex whiteboard (Beta),"The new Webex whiteboard is an infinite canvas where you can collaborate together with any meeting participants whether they are using Webex Meetings app, Webex App, or Webex devices.There are several handy tools such as pen, shapes, sticky notes, and images. When collaborating with others, you can see their profile pictures moving along with their pen strokes.To start a new whiteboard, just click the ""..."" menu button and click ""Start New Whiteboard"". Or if other participants start a whiteboard session, you can automatically join that session.",1
36, Change default to not allow cohosts to end meeting,"Starting in 42.9, cohosts can’t end meetings. This change prevents accidental ending of meetings by cohosts. If an organization wants to change back to allow cohosts to end meetings, they can have their CSM submit a provisioning request.",1
37, Shared content in stage view is now larger,"When you share content in a meeting or webinar, the shared content is now larger and the speaker video(s) is now smaller. The ratio between content and speaker videos is approximately 70:30 but depends on the size of your screens and the number of speakers on stage.The rest of the stage flow works the same.",1
38," Simultaneous Interpretation: enable or disable interpretation ad-hoc and set a default language for scheduled meetings, webinars, and Personal Room meetings","Simultaneous Interpretation is supported in Personal Room meetings. You can enable these settings in site preference.For both Personal Room meetings and scheduled meetings or webinars, hosts can enable or disable the interpretation feature ad-hoc in the meeting, easily by controlling it on the fly.Hosts can also set a default language channel for everyone in the meeting (except interpreters) during scheduling or in the meeting. This gives hosts greater control over the meeting experience for their attendees and makes it easier for users to experience interpretation in their meeting.",1
39, Open text – topics or clusters,The type of responses that are being submitted to Open text polls are clustered and organized into categories. Available in Slido Labs and automatically ON for Cisco accounts. Rolling out to more accounts in the following weeks.Only non-beta customers can’t see this feature.,1
40, New settings available in Webex Sidebar,"Four new expandable sections are now available; General, Privacy, Audience Q&A, and Polls. Click and open Advanced settings which bring you to a pop-out of administrator settings.",1
41,. Open text - display name,"This feature adds the option to display a name that is attached to an answer. Once the participant decides to add their name it is visible in administration, participant, and present mode.",1
42,. Administrators can enable Allow host account signup on Control Hub managed sites,"In case you missed the 42.8.5 update, administrators can enable Allow host account signup on Control Hub managed sites. This feature has been available for site administrator-managed sites and is now also available on Control Hub managed sites.This feature allows people without an account on the site to request a host account.A related feature for administrators to enable Allow users to request that additional services are also part of this feature.You can request for approvals in Control Hub using the Requests tab of notification Center in Control Hub.",1
43, Enhanced meeting security with Auto Admit,"We are excited to introduce Auto Admit that is designed to make your life easier as a meeting host while increasing the security of your meeting.This new default behavior allows invitees who are signed into Webex to join a scheduled meeting directly without having to wait in the lobby. No more admitting people in the lobby when they were supposed to be in the meeting anyways.No passwords or PIN numbers required. Even Webex Room systems that you add to your meeting invite can join the meeting directly.Remind your invitees to sign into Webex to be able to take advantage of this amazing new usability improvement.For users who aren't signed into Webex and those that aren't on the invite, they continue to wait in the lobby until you or a cohost admits them.",1
44, Share mobile camera view as content,"We’re introducing an industry first ability to share the camera view from your mobile device or iOS and Android users. During a Webex Meeting, mobile app users can start sharing their mobile camera view with all the meeting participants. Meeting participants can view shared mobile camera content in full screen mode on their computers, devices, and phones.To use this feature, select Start or Join a meeting, then … more > Share Content > Camera icon.Capabilities while sharing mobile camera:Zoom in or zoom out when sharing mobile camera and attendees see the updated view.Annotate with shared mobile camera content.User can share either front camera or back camera.If you’ve turned on self-video on your meetings mobile app, it is turned off when sharing mobile camera as content.",1
45, Lobby chime in Meetings,"To help hosts and cohosts manage attendees in a meeting we have added sound notifications for when a person joins the lobby. In addition to the current visual notification, hosts and cohosts can now turn on an audio notification. This option is found in Meeting Setting -> Notifications. People can choose which sound they hear. Sound is only audible for hosts or cohosts. If multiple people join lobby at same time only one sound plays. After 10 seconds then sound plays again if a new person joins the lobby.",1
46, Host can grant access to the meeting reports to their administrators,"This feature empowers the scheduling delegates, typically the executive administrators, to access the meeting content that includes recordings, transcripts, highlights, and attendance reports. Thereby, removing the burden from executives of download this information and manually sending them to their administrators for any further analysis or processing.When the meeting ends, the delegate, in addition to the host, gets an email with the link to the page where the meeting content is available. Delegate can also sign-in into the Webex site page, select the Calendar option in the left menu, go to the Completed tab and select where I am a delegate in the drop-down menu. The delegate can see and access the completed meeting list and meeting content by clicking any of the meetings.Only a user marked as delegate can access the meetings content when the meetings end. Moreover, a Webex user has an option to assign if a delegate has access to meeting content or not.",1
47, Simultaneous interpretation original (floor) audio pass through,"When interpreters aren’t speaking in a language channel, participants subscribed to that channel automatically hear 100% original (floor) audio. Once an interpreter speaks in the channel, the user hears the volume balance of an interpreter or the original audio according to what has been set (by default, it is 80% interpreter, 20% original audio, but the user can change it according to their preference). This feature does not change the user interface.",1
48, Email template improvement,"In this update, webinar supports three new email templates:Webinar invitation emails for panelistsCancellation emails for panelists who are removed in the webinarAbsentee follow up emails for people who registered for but didn’t join the webinarCertain email templates are optional, and hosts can decide if they want them to be sent out.There is also improved support for variables in the email templates, making customization easier for the host.Also, there's improved support for variables in the email templates, which makes the customization easier on the host.Support to customize logos for all the email templates.",1
49, Breakout session attendee report,Breakout session attendance report is added to the meeting attendee report. This includes breakout session names along with the attendee join and leave time.,1
50, Attendance report now sortable on web (Apple),This report was previously static and not sortable. Now it is sortable by last name directly in the browser without having to download it.Only non-beta customers can’t see this feature.,1
51, New look for site administration management,"We're changing the look and feel of your meeting site management pages in Control Hub. We’re making your experience of managing your site consistent with how you manage other services in Control Hub.The current site management pages use IFrames to pull the site management settings from Webex Site Administration into Control Hub. This interface refresh removes the IFrames and ports most of the site management settings on Control Hub pages. Meanwhile, all administrative activities are audited in Control Hub audit log. We provide a capability for the customers to revert to the old site administration tool in that time, and the administrator can also switch to a new site administration experience. (In this phase, we completed the relevant functions relating to Webex Meetings and Webinar meetings.)",1
52,. Update SSO auto-account creation in Site conversion tool,Site administrator sites with auto account creation can now be updated from Site adminstration to Control Hub.Administrators should configure their Control Hub ORG with Auto account creation and auto license templates before updating their site to Control Hub to avoid loss of functionality.,1
53,. Ability to disable broadcast message,"Administrators can disable Broadcast Message using Control Hub templates for Meetings and Webinars. The controls to disable this feature are available at the user or group or org level.When the administrator has this disabled for the user, then the user as an attendee to a webinar or meeting can't receive broadcast messages. For a user that has the broadcast message turned OFF, they aren't able to use this feature in the meeting and appropriate client message is provided to them. If the user is a host, then the entire meeting doesn't have the broadcast message capability.",1
54, New webcast view experience in Webex Webinars (version 42.11.5),"We’re happy to announce the new webcast view experience, coming in November.Hosts can set up a customized logo in the scheduling step. The host and their attendees are impressed by the polished look of Slido’s polling and Q&A, as well as the variety of the polling questions. In the previous update, attendees view couldn’t be maximized, but in this update, attendees can max out the web browsers' space to view the webcast.In terms of limitations, hosts can view the total number of attendees but can’t view the individual attendees in the list yet. Also, the chat doesn’t have emojis or the ability to adjust font.",1
55, New Webex whiteboard,"Previously this feature was available with a beta tag, but in 42.11 it is generally available to everyone. The new Webex whiteboard is an infinite canvas where you can collaborate together with any meeting participants whether they are using Webex Meetings app, Webex App, or Webex devices.There are some new tools that are added to the new whiteboard:Text—It's much easier to type text than writing with a mouse.Shapes—There are some built-in shapes, you can discover them by clicking the Shapes tool.Lasso-selection—When choosing the Arrow tool, you can lasso-select objects in the canvas and move them, delete them, bring to front or send to back.",1
56, Edit In-meeting display name,"You can now edit your in-meeting display name in the meeting. This makes it easier to use a preferred name or control how you want your name is seen by others.As a Meetings participant or Webinar panelist, in the Participants panel, simply right-click your name and select Edit Display Name to edit your name for this meeting. Hosts and cohost can edit the display name of any Meetings participant or Webinar panelist in the meeting or webinar.The meeting recording and usage report always show the last-edited name of a user.For customers who prefer to block the ability to edit display names, the can administrator can disable it.",1
57, Notice of default value change to ON for the Enable Webex Assistant administration site setting,"The Enable Webex Assistant setting is on by default, in November, unless an administrator has already manually set it to Off. In November this change is applied to all customers, including both slow and fast channel customers.This setting only makes Webex Assistant available in meetings but doesn’t automatically turn it on. Whether or not Webex Assistant is turned on in meetings depends on the host's choice.Administrators can also control Webex Assistant availability for individual users and groups using the settings templates.If a customer prefers Webex Assistant to be unavailable for all users, then they can ensure that the Enable Webex Assistant setting is turned OFF by following these steps:If the setting is currently OFF:Turn the setting ON.Save the page.Turn the setting OFF.Save the page.If the setting is currently ON:Turn the setting OFF.Save the page.",1
58, Custom Dictionary,"The Custom dictionary feature in Control Hub allows administrators to specify custom out-of-vocabulary words that aren’t part of the standard dictionary, so that when these words are uttered in meetings, they can be transcribed more accurately in the closed captions and transcript.​ The keywords include organization acronyms and jargon, industry terms, product names, organization name, and people's names. In this update, this dictionary is limited to 100 words and English language support only.",1
59, New lobby controls for Personal Room meetings,"The new lobby controls for Personal Room meetings re-categorizes guest users, separating them into two groups with separate lobby controls.These two new users groups are:Unverified Users: Users who have not signed in and whose identity can't be verified.Verified External Users: Users who have signed in, but belong to a different organization to the one hosting the meeting.Each of these user groups have separate and independent lobby controls:They can join the meeting.They wait in the lobby until the host admits them.They can't join the meeting.Distinguishing between unverified and verified external users allows administrators to enhance meeting security by applying more stringent meeting entry controls for unverified users. For example, unverified users can’t join the meeting, while verified external users are placed in the lobby or unverified users are placed in the lobby, while verified external users can join the meeting directly.",1
60, Webex Scheduler support preferred site to login,Webex Scheduler uses the default Webex site when scheduling a meeting. You can change the default Webex site in Webex App preferences. Administrators can perform a bulk default Webex site change for users by a user CSV export and import in Control Hub.,1
61, Change attendee status to pending in the Manage Webinar Registration page,"You can now see a Change status to pending button in the manage webinar registration page, which allows you to change the registration status of an approved or declined attendee to pending.Attendees marked as pending are listed in the pending tab of the manage registration page.When the status of an approved attendee is changed to pending, the attendee receives an email informing them that their invitation to the webinar is cancelled. No such email is sent to attendees whose registration status has been changed from declined to pending.",1
62, Host notification for recordings reaching expiry based on retention policy,"Webex users receive an email notification if they have recordings reaching expiry soon. They can see an expiring soon label next to their recordings in the recordings tab in the Webex site.These notifications are set either weekly or monthly, depending on the retention period set by the administrator. These notifications are controlled by the existing recording email notification toggle in settings.",1
63,. Restrict meeting experiences using registry keys on your company devices,"IT administrators can restrict their company devices to adhere to certain meeting experience based on their company policies. This can be done via pushing down a registry key across all your company owned devices.Today if a user is signed-in they adhere to their company policies no matter the device they join the meeting from. This behavior changes with the registry key installation from this update. Going forward if the restricted machine or device has a registry key the experience is the most restrictive policy. For example, devices or machines restrict file transfer but the user policy allows for this feature, if the user joins the meetings using this restricted device they can no longer perform file transfers in that meeting. we will go with the most restrictive policy",1
64,. Forced authentication before joining Webex Meetings,"In this update, IT administrators can now lock the company device to allow only authenticated company users to join meetings using this device. You turn ON this feature in Control Hub.This feature is applicable if you are using company device to join meetings that are held within your organization or joining external meetings (meetings held outside of your organization). This feature leverages registry key and token that are introduced.Without a registry key, if Authenticated Sign-in is ON, it applies to everyone trying to join meetings with a claimed email address.",1
65,. Ability for IT administrators to control secondary camera experience for their meeting users,"IT administrators can now decide if their users should have the secondary camera capability in their meetings or not. Administrators can apply this configuration to a specific user, group of users, or to their entire organization using Control Hub settings template or to their entire organization using org level settings on Control Hub. Administrators can also choose which meetings (internal or external) these settings apply using the options that are provided to them in the settings templates.The end user is provided with an appropriate notification from the app when this secondary camera feature is disabled for use by the IT administrators.",1
66,. Trusted domains for Personal Room meetings and internal only Personal Room meetings,"This feature provides more granular control over internal Webex Meetings.Previously this Control Hub feature allowed an administrator - to make all scheduled and Personal Room meetings:Accessible by all external usersAccessible only by users from approved email domainsAccessible only by internal usersThis feature can be applied to:All users in the organizationA group of users in the organization (using Templates and User Groups)An individual in the organizationThis new feature allows the above controls to applied only to Personal Room meeting such that:Scheduled Meetings and Personal Room meetings are accessible by all external users.Personal Room meetings are accessible only by users from approved email domains, scheduled meetings are accessible by any external user.Personal Room meetings are accessible only by internal users, scheduled meetings are accessible by any external user.This Personal Room meeting only filter can be applied to all users in the organization, a user group, or an individual user.",1
67," Hosts, cohosts, and panelists to initiate private chat with attendees","Webinar hosts, cohosts, and panelists can now initiate a private chat with attendees using the chat panel or the participant list. They can now initiate communication with attendees proactively without requiring attendees to reach out to them first.",1
68, The share control bar is now expandable and collapsible manually,"When sharing the screen, sometimes the control bar gets in the way of content and the automatic opening and closing can be distracting. These changes allow the bar to be dragged left and right across the screen to see content behind. It’s also openable manually for better control of the menu.",1
69, Polling to be managed by both host and cohost,Hosts and cohosts can both manage built-in polling (not Slido) during meetings and webinars.Hosts and cohosts can edit polls at the same time and receive notifications for who is editing the poll as well as who has already made edits to the poll. This makes async collaboration much easier.,1
70, Host's closed captions status is independent of host's Webex Assistant status,"When the host turns on the Webex Assistant, it no longer automatically turns on the host's closed captions box; instead, the closed captions box's on or off status is independent and follows the same behavior that exists for attendees. That is, for all users, including hosts and attendees, the closed captions box's on or off status depends on what the user selected last. For example, if the user had closed captions on in the last meeting, then it remembers that selection and continues to stay on in their next meeting, and conversely, regardless of the Webex Assistant status.",1
71, Webex Meetings iOS app UX improvements (iPhone and iPad),"The Webex Meetings app for iPhone and iPad is redesigned to provide a better experience for users.Style update for interstitial page, in-meeting more menu, plist, layout, layout options, and in-meeting chat.In-meeting chat, plist and apps modal appears as side panel for iPad Webex Meetings app.Indicator center moved at bottom left corner.Speaking bubble appears only when speaker is not on the screen.Virtual background option added in in-meetings more menu.In-meeting Audio icon (earpiece, speaker, and bluetooth) moved to bottom call controls.Logged-in user can share PMR link from within iMessage.",1
72, Seasonal Emoji Reactions-Windows and Mac,"To add some festive cheer, we're giving reactions a seasonal makeover. You'll see these changes for all reactions on Windows and Mac from December 7 to December 30. (On mobile, reactions use the Android or iOS emojis so we aren't updating those reactions.) If you'd prefer to turn this option off, contact feature-feedback@cisco.com before December 10.This is only available using the December release builds.",1
73, Easily control how your self-view displays,"In this update, we're giving you even more control over where and when you want to see your own video in meetings, webinars, and webcasts. You can still choose to either show your self-view with others or show your self-view in a floating window. But now you can also hide your self-view altogether, or only hide it when video is off.",1
74, New webcast view experience,"In case you missed the update that came in 42.11.5 the host can setup a customized logo from the scheduling step, which you couldn’t do before. The host and their attendees are impressed by the polished look of Slido’s polling and Q&A, as well as the variety of the polling questions. The streaming quality can go up to 1080p. In the previous version, attendees view couldn't be maximized, but in this update, attendees can max out the web browsers' space to view the webcast.In terms of limitations, host can view the total number of attendees but can't view individual attendees in the list yet, this is being worked on. Also in chat, it doesn't have emoji or the ability to adjust font.",1
75, Schedule a webinar from within a series,"Series owners can now schedule a new webinar from within their series.When you select Schedule a new webinar, the series owner is redirected to the scheduling page and goes through the process of scheduling a webinar. In this flow, however, the webinar series is pre-populated with the series name within which the webinar is being created.",1
76,. Manage registration in webinar series,"Webinar series owners and collaborators can now manage the registration of individual webinars in their series through the series information page. They can view how many people have registered for each webinar, including the number of pending, approved, and rejected registrants. They can also quickly respond to registrations from the series information page by clicking on the hyperlinked pending, approved, or rejected numbers listed by the webinar name, which redirects them to the registration page of that webinar.",1
77,. Webinar update,"Webinar users now see a new component on the webinar scheduling page, which contains links to a webinars quick start guide as well as other help documents. This aids new webinar users in scheduling a webinar and informing them of all that webinars has to offer to enhance their pre, post, and in-webinar experience.",1
78,. Option to hide profile picture in the grid layout when self-video is off,"Mobile users can now either show or hide their profile picture self-view in the grid layout when their self-video is off.By default, when the self-video is off, your profile picture with self-view is shown in the grid layout.When you turn on the Hide SelfView toggle during the meeting, your profile doesn’t appear in the grid view when your video is off. Only participants appear in the grid layout.This option can be used by accessing ..., more option -> Settings during the meeting.",1
79,. Webex Meetings iOS app UX improvements (iPhone and iPad),"The Webex Meetings app for iPhone and iPad is redesigned to provide a better experience for users.Style update for interstitial page, in-meeting more menu, plist, layout, layout options, and in-meeting chat.In-meeting chat, plist and apps modal appears as side panel for iPad Webex Meetings app.Indicator center moved at bottom left corner.Speaking bubble appears only when speaker is not on the screen.Virtual background option added in in-meetings more menu.In-meeting Audio icon (earpiece, speaker, and bluetooth) moved to bottom call controls.Logged-in user can share PMR link from within iMessage.",1
80,". Hosts, cohosts, and panelists to initiate private chat with attendees","Webinar hosts, cohosts, and panelists can now initiate a private chat with attendees using the chat panel or the participant list. This enables them to initiate communication with attendees proactively without requiring attendees to reach out to them first.",1
